"A","ID_PERSONA","ID","M_ALTA","CENTRE_ELECCIONS","N_FORMACIONS","N_ASSESSORAMENTS","SLABORAL","BAIXA_AFILIACIO","NUM_AFILIACIO","EDAT"
"465",6197922,6197922.1,3,1,0,2,1,0,1,28
"466",6197922,6197922.1,3,1,0,2,1,0,1,28
"467",6209757,6209757.1,2,0,0,0,1,0,1,33
"468",6212546,6212546.1,3,0,0,1,1,0,1,45
"469",6216980,6216980.1,2,0,0,1,1,0,1,32
"470",6237287,6237287.1,2,0,0,1,1,0,1,19
"471",6248235,6248235.1,2,1,0,0,1,0,1,54
"472",6250150,6250150.1,2,1,0,0,1,0,1,29
"473",6251391,6251391.1,2,0,1,0,1,1,1,27
"474",6252872,6252872.1,2,1,0,1,1,1,1,28
"475",6253858,6253858.1,2,0,0,0,5,0,1,42
"476",6253890,6253890.1,2,0,0,0,5,0,1,57
"477",6254295,6254295.1,2,1,1,0,1,0,1,64
"478",6254516,6254516.1,2,0,0,0,1,0,1,42
"479",6254549,6254549.1,3,0,0,1,1,0,1,38
